UID,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF
75,L47254,L,298.9,309.0,1601,0.6734346786516008,202,0,0,0,0,0,0
76,L47255,L,298.8,308.9,1379,0.793814654844668,204,0,0,0,0,0,0
77,L47256,L,298.8,308.9,1461,0.13172478578279617,206,0,0,0,0,0,0
78,L47257,L,298.8,308.9,1455,1.1549545834238708,208,1,1,0,0,0,0
79,L47258,L,298.8,308.9,1398,-0.20935181343089515,0,0,0,0,0,0,0
80,L47259,L,298.8,308.9,1402,0.9944479484997806,2,0,0,0,0,0,0
81,H29494,H,298.8,308.8,1445,0.7536879961136456,4,0,0,0,0,0,0
82,L47261,L,298.9,308.9,1450,0.08156646236901802,9,0,0,0,0,0,0
83,L47262,L,298.9,308.9,1453,0.011344809589729025,11,0,0,0,0,0,0
84,L47263,L,299.0,309.0,1469,0.7637196607964014,13,0,0,0,0,0,0
85,L47264,L,298.9,308.9,1422,-1.32286659321677,15,0,0,0,0,0,0
86,M14945,M,299.0,309.0,1804,0.3925480675344427,17,0,0,0,0,0,0
87,H29500,H,299.0,309.0,1436,-0.8212833590789884,20,0,0,0,0,0,0
88,L47267,L,299.0,309.0,1544,0.5229597084102664,25,0,0,0,0,0,0
89,M14948,M,299.0,309.0,1419,-0.04884517850680491,27,0,0,0,0,0,0
90,M14949,M,298.9,308.9,1487,-1.4231832400443263,30,0,0,0,0,0,0
91,L47270,L,298.9,308.9,1753,-1.5134682221891271,33,0,0,0,0,0,0
92,L47271,L,298.9,308.9,1830,-1.2927715991685031,35,0,0,0,0,0,0
93,M14952,M,298.9,308.9,1727,0.3022630853896422,37,0,0,0,0,0,0
94,L47273,L,299.1,309.0,1450,-0.811251694396233,40,0,0,0,0,0,0
95,L47274,L,299.0,308.9,1622,1.2251762362031606,42,0,0,0,0,0,0
96,M14955,M,299.0,309.0,1351,-0.4701750951825417,44,0,0,0,0,0,0
97,M14956,M,299.0,309.0,1575,-1.0118849880513456,47,0,0,0,0,0,0
98,M14957,M,298.9,308.9,1750,-0.7309983769341876,50,0,0,0,0,0,0
99,L47278,L,298.9,308.8,1529,0.4427063909482209,53,0,0,0,0,0,0
100,L47279,L,298.8,308.8,1523,-1.5034365575063715,55,0,0,0,0,0,0
101,L47280,L,298.8,308.9,1852,-1.9347981388648636,57,0,0,0,0,0,0
102,L47281,L,298.8,308.8,1991,0.06150313300350718,59,0,0,0,0,0,0
103,L47282,L,298.8,308.8,1555,0.05147146832075141,61,0,0,0,0,0,0
104,M14963,M,298.8,308.8,1441,0.3423897441206646,63,0,0,0,0,0,0
105,L47284,L,298.8,308.7,1450,-0.8915050118582778,66,0,0,0,0,0,0
106,L47285,L,298.8,308.7,1591,0.8540046429412019,68,0,0,0,0,0,0
107,L47286,L,298.8,308.7,1445,0.6834663433343559,70,0,0,0,0,0,0
108,M14967,M,298.8,308.8,1497,-0.7309983769341876,72,0,0,0,0,0,0
109,H29522,H,298.9,308.8,1621,-0.5905550713756088,75,0,0,0,0,0,0
110,L47289,L,298.9,308.7,1572,-1.7542281745752621,80,0,0,0,0,0,0
111,L47290,L,298.8,308.6,1872,0.3524214088034203,82,0,0,0,0,0,0
112,H29525,H,298.7,308.6,1499,-0.04884517850680491,84,0,0,0,0,0,0
113,M14972,M,298.8,308.7,1498,0.1919147738793301,89,0,0,0,0,0,0
114,M14973,M,298.8,308.6,1486,-1.0620433114651238,92,0,0,0,0,0,0
115,L47294,L,298.8,308.6,1680,0.5731180318240445,95,0,0,0,0,0,0
116,L47295,L,298.8,308.6,1431,-0.5905550713756088,97,0,0,0,0,0,0
117,L47296,L,298.9,308.7,1564,-0.7009033828859209,99,0,0,0,0,0,0
118,L47297,L,298.8,308.6,1599,-1.1924549523409467,101,0,0,0,0,0,0
119,M14978,M,298.8,308.6,1707,0.07153479768626296,103,0,0,0,0,0,0
120,L47299,L,298.7,308.5,1467,0.4728013849964882,106,0,0,0,0,0,0
121,L47300,L,298.9,308.7,1433,0.12169312110004112,108,0,0,0,0,0,0
122,L47301,L,298.9,308.7,1558,1.074701265961826,110,0,0,0,0,0,0
123,L47302,L,299.0,308.8,1310,0.3423897441206646,112,0,0,0,0,0,0
124,L47303,L,298.9,308.7,1546,-1.0620433114651238,114,0,0,0,0,0,0
125,L47304,L,298.9,308.7,1727,-0.7811567003479657,116,0,0,0,0,0,0
126,L47305,L,298.9,308.6,1560,2.0578044048718778,118,0,0,0,0,0,0
127,L47306,L,299.0,308.6,1329,0.6533713492860893,120,0,0,0,0,0,0
128,L47307,L,298.9,308.6,1413,-0.13913016065160544,122,0,0,0,0,0,0
129,L47308,L,299.0,308.6,1587,-0.570491742010098,124,0,0,0,0,0,0
130,L47309,L,298.9,308.5,1559,0.11166145641728534,126,0,0,0,0,0,0
131,L47310,L,298.8,308.4,1473,-1.2325816110719694,128,0,0,0,0,0,0
132,L47311,L,298.8,308.4,1737,0.3223264147551537,130,0,0,0,0,0,0
133,M14992,M,298.7,308.4,1441,0.964352954451514,132,0,0,0,0,0,0
134,M14993,M,298.7,308.4,1430,1.3054295536652054,135,0,0,0,0,0,0
135,L47314,L,298.8,308.4,1369,-1.1523282936099244,138,0,0,0,0,0,0
136,M14995,M,298.8,308.5,1711,0.5731180318240445,140,0,0,0,0,0,0
137,H29550,H,298.7,308.5,1420,1.5361578413685846,143,0,0,0,0,0,0
138,L47317,L,298.7,308.6,1297,0.9442896250860024,148,0,0,0,0,0,0
139,H29552,H,298.8,308.6,1449,1.5863161647823627,150,0,0,0,0,0,0
140,L47319,L,298.8,308.6,1268,-0.38992177772049624,155,0,0,0,0,0,0
141,L47320,L,298.8,308.6,1511,-0.48020675986529676,157,0,0,0,0,0,0
142,L47321,L,298.7,308.5,1544,-1.1824232876581913,159,0,0,0,0,0,0
143,M15002,M,298.6,308.4,1778,1.0546379365963146,161,0,0,0,0,0,0
144,H29557,H,298.6,308.4,1407,0.24207309729310825,164,0,0,0,0,0,0
145,M15004,M,298.6,308.4,1391,-0.640713394789387,169,0,0,0,0,0,0
146,L47325,L,298.5,308.4,1513,-0.38992177772049624,172,0,0,0,0,0,0
147,H29560,H,298.5,308.4,1612,0.011344809589729025,174,0,0,0,0,0,0
148,L47327,L,298.4,308.4,1515,0.8038463195274238,179,0,0,0,0,0,0
149,M15008,M,298.3,308.3,1379,-0.008718519775782523,181,0,0,0,0,0,0
150,L47329,L,298.4,308.3,1473,0.2721680913413756,184,0,0,0,0,0,0
151,L47330,L,298.4,308.3,1422,-0.23944680747916175,186,0,0,0,0,0,0
152,M15011,M,298.4,308.2,1463,0.10162979173452956,188,0,0,0,0,0,0
153,M15012,M,298.4,308.2,1584,-1.3028032638512588,191,0,0,0,0,0,0
154,L47333,L,298.4,308.2,1850,-0.37989011303774045,194,0,0,0,0,0,0
155,L47334,L,298.4,308.2,1528,-2.025083121009664,196,0,0,0,0,0,0
156,H29569,H,298.4,308.2,1987,0.6032130258723112,198,0,0,0,0,0,0
157,M15016,M,298.4,308.1,1495,0.3524214088034203,203,0,0,0,0,0,0
158,H29571,H,298.4,308.2,1478,0.0013131449069732513,206,0,0,0,0,0,0
159,M15018,M,298.4,308.2,1499,0.7035296726998674,211,0,0,0,0,0,0
160,L47339,L,298.4,308.2,1471,2.077867734237389,214,0,0,0,0,0,0
161,L47340,L,298.4,308.2,1282,1.2352079008859156,216,1,0,0,0,1,0
162,L47341,L,298.3,308.1,1412,-0.45011176581703016,218,1,0,0,0,1,0
163,L47342,L,298.3,308.1,1586,0.382516402851687,0,0,0,0,0,0,0
164,M15023,M,298.4,308.2,1468,0.3624530734861761,2,0,0,0,0,0,0
165,M15024,M,298.5,308.3,1440,-1.403119910678815,5,0,0,0,0,0,0
166,L47345,L,298.5,308.4,1733,-0.7410300416169433,8,0,0,0,0,0,0
167,H29580,H,298.4,308.2,1612,0.2922314207068864,10,0,0,0,0,0,0
168,H29581,H,298.4,308.3,1458,2.2383743691614786,15,0,0,0,0,0,0
169,L47348,L,298.4,308.3,1433,1.917361099313299,20,1,0,0,1,0,0
170,L47349,L,298.4,308.3,1318,-0.5002700892308083,22,0,0,0,0,0,0
171,M15030,M,298.4,308.2,1610,1.0847329306445812,24,0,0,0,0,0,0
172,L47351,L,298.2,308.1,1462,-1.9247664741821078,27,0,0,0,0,0,0
173,M15032,M,298.1,308.0,1924,-0.6306817301066312,29,0,0,0,0,0,0
174,M15033,M,298.2,308.0,1591,1.8371077818512536,32,0,0,0,0,0,0
175,L47354,L,298.2,308.1,1306,0.3524214088034203,35,0,0,0,0,0,0
176,L47355,L,298.2,308.1,1382,-0.530365083279075,37,0,0,0,0,0,0
177,L47356,L,298.2,308.1,1618,-1.8645764860855742,39,0,0,0,0,0,0
178,L47357,L,298.2,308.2,1988,1.024542942548048,41,0,0,0,0,0,0
179,L47358,L,298.2,308.2,1436,0.9844162838170248,43,0,0,0,0,0,0
180,L47359,L,298.2,308.3,1304,0.9944479484997806,45,0,0,0,0,0,0
181,L47360,L,298.2,308.3,1475,-1.5836898749684165,47,0,0,0,0,0,0
182,H29595,H,298.2,308.3,1824,0.8138779842101795,49,0,0,0,0,0,0
183,M15042,M,298.1,308.2,1342,0.07153479768626296,54,0,0,0,0,0,0
184,L47363,L,298.1,308.2,1485,-0.9416633352720559,57,0,0,0,0,0,0
185,L47364,L,298.2,308.2,1667,-0.17925681938262783,59,0,0,0,0,0,0
186,L47365,L,298.2,308.2,1446,1.6063794941478742,61,0,0,0,0,0,0
187,L47366,L,298.1,308.3,1301,0.312294750072398,63,0,0,0,0,0,0
188,L47367,L,298.2,308.4,1379,-0.640713394789387,65,0,0,0,0,0,0
189,L47368,L,298.3,308.5,1606,0.3423897441206646,67,0,0,0,0,0,0
190,M15049,M,298.3,308.4,1539,0.9944479484997806,69,0,0,0,0,0,0
191,L47370,L,298.2,308.4,1477,-0.5403967479618307,72,0,0,0,0,0,0
192,L47371,L,298.2,308.4,1666,1.1850495774721375,74,0,0,0,0,0,0
193,H29606,H,298.2,308.4,1398,-0.5403967479618307,76,0,0,0,0,0,0
194,H29607,H,298.2,308.4,1678,-2.937964607140427,81,0,0,0,0,0,0
195,M15054,M,298.2,308.5,2678,0.2922314207068864,86,1,0,0,1,0,0
196,L47375,L,298.3,308.5,1453,0.9543212897687582,89,0,0,0,0,0,0
197,H29610,H,298.3,308.6,1432,0.0915981270517738,91,0,0,0,0,0,0
198,M15057,M,298.4,308.6,1527,-0.5002700892308083,96,0,0,0,0,0,0
199,L47378,L,298.4,308.7,1588,0.7135613373826232,99,0,0,0,0,0,0
200,L47379,L,298.4,308.6,1433,-0.5002700892308083,101,0,0,0,0,0,0
201,L47380,L,298.4,308.6,1609,0.12169312110004112,103,0,0,0,0,0,0
202,L47381,L,298.3,308.5,1575,-0.43004843645151863,105,0,0,0,0,0,0
203,M15062,M,298.4,308.5,1636,-0.20935181343089515,107,0,0,0,0,0,0
204,L47383,L,298.4,308.5,1490,-0.7209667122514325,110,0,0,0,0,0,0
205,L47384,L,298.4,308.5,1741,1.3054295536652054,112,0,0,0,0,0,0
206,M15065,M,298.5,308.6,1344,-0.4701750951825417,114,0,0,0,0,0,0
207,L47386,L,298.5,308.7,1609,2.077867734237389,117,0,0,0,0,0,0
208,M15067,M,298.4,308.7,1421,-0.32973178962396227,119,1,0,0,1,0,0
209,L47388,L,298.4,308.6,1591,0.4025797322171985,122,0,0,0,0,0,0
210,L47389,L,298.4,308.6,1477,-0.38992177772049624,124,0,0,0,0,0,0
211,L47390,L,298.4,308.7,1523,-0.6106184007411204,126,0,0,0,0,0,0
212,L47391,L,298.5,308.7,1575,1.2953978889824496,128,0,0,0,0,0,0
213,H29626,H,298.4,308.7,1344,0.492864714361999,130,0,0,0,0,0,0
214,L47393,L,298.4,308.7,1386,-0.28960513089293993,135,0,0,0,0,0,0
215,M15074,M,298.3,308.6,1589,0.03140813895523986,137,0,0,0,0,0,0
216,L47395,L,298.3,308.6,1548,-0.16922515469987276,140,0,0,0,0,0,0
217,L47396,L,298.3,308.6,1499,-0.8413466884444997,142,0,0,0,0,0,0
218,L47397,L,298.3,308.5,1664,-0.1892884840653836,144,0,0,0,0,0,0
219,L47398,L,298.3,308.6,1447,0.6232763552378227,146,0,0,0,0,0,0
220,M15079,M,298.3,308.5,1434,1.2753345596169388,148,0,0,0,0,0,0
221,L47400,L,298.3,308.5,1416,-1.5736582102856609,151,0,0,0,0,0,0
222,H29635,H,298.4,308.5,1827,0.5028963790447548,153,0,0,0,0,0,0
223,L47402,L,298.4,308.6,1304,-0.5604600773273423,158,0,0,0,0,0,0
224,L47403,L,298.4,308.6,1569,-1.0720749761478792,160,0,0,0,0,0,0
225,L47404,L,298.3,308.6,1584,1.3856828711272502,162,0,0,0,0,0,0
226,L47405,L,298.3,308.5,1362,0.9242262957204916,164,0,0,0,0,0,0
227,L47406,L,298.3,308.4,1329,-0.38992177772049624,166,0,0,0,0,0,0
228,L47407,L,298.3,308.5,1539,-0.28960513089293993,168,0,0,0,0,0,0
229,M15088,M,298.3,308.5,1629,-0.7811567003479657,170,0,0,0,0,0,0
230,L47409,L,298.3,308.5,1538,-0.5203334185963199,173,0,0,0,0,0,0
231,L47410,L,298.3,308.6,1570,0.312294750072398,175,0,0,0,0,0,0
232,L47411,L,298.3,308.4,1408,0.7637196607964014,177,0,0,0,0,0,0
233,L47412,L,298.2,308.4,1424,-0.5103017539135641,179,0,0,0,0,0,0
234,L47413,L,298.2,308.4,1512,0.2922314207068864,181,0,0,0,0,0,0
235,L47414,L,298.2,308.4,1478,-0.6306817301066312,183,0,0,0,0,0,0
236,M15095,M,298.1,308.3,1680,-0.12909849596884967,185,0,0,0,0,0,0
237,L47416,L,298.1,308.3,1495,-0.33976345430671806,188,0,0,0,0,0,0
238,M15097,M,298.0,308.1,1552,1.034574607230803,190,0,0,0,0,0,0
239,L47418,L,297.9,308.1,1393,-0.9416633352720559,193,0,0,0,0,0,0
240,L47419,L,298.0,308.2,1611,1.1649862481066267,195,0,0,0,0,0,0
241,M15100,M,298.0,308.1,1339,-1.5736582102856609,197,0,0,0,0,0,0
242,L47421,L,298.0,308.1,1777,1.8872661052650317,200,0,0,0,0,0,0
243,L47422,L,298.0,308.2,1348,0.4126113968999543,202,1,0,0,0,1,0
244,L47423,L,298.0,308.2,1442,0.9141946310377358,204,0,0,0,0,0,0
245,M15104,M,298.0,308.2,1395,-0.8614100178100111,206,0,0,0,0,0,0
246,M15105,M,297.9,308.1,1627,-0.6507450594721428,209,0,0,0,0,0,0
247,L47426,L,297.9,308.1,1585,0.5530547024585329,212,0,0,0,0,0,0
248,L47427,L,298.0,308.2,1469,1.686632811609919,214,0,0,0,0,0,0
249,L47428,L,298.0,308.3,1362,1.6264428235133859,216,1,0,0,0,1,0
250,L47429,L,298.0,308.3,1405,-0.7309983769341876,218,1,0,0,0,1,0
251,L47430,L,298.0,308.3,1662,0.2621364266586198,0,0,0,0,0,0,0
252,M15111,M,298.0,308.2,1466,-0.42001677176876356,2,0,0,0,0,0,0
253,L47432,L,298.0,308.2,1620,0.8239096488929353,5,0,0,0,0,0,0
254,L47433,L,298.0,308.2,1357,-0.20935181343089515,7,0,0,0,0,0,0
255,L47434,L,298.0,308.2,1514,0.04143980363799563,9,0,0,0,0,0,0
256,L47435,L,298.0,308.2,1489,2.3085960219407684,11,0,0,0,0,0,0
257,L47436,L,298.1,308.3,1331,-1.0520116467823681,13,0,0,0,0,0,0
258,L47437,L,298.0,308.0,1615,-0.20935181343089515,15,0,0,0,0,0,0
259,L47438,L,298.1,308.2,1482,2.398881004085569,17,0,0,0,0,0,0
260,M15119,M,298.1,308.2,1420,0.9141946310377358,19,1,0,0,1,0,0
261,M15120,M,298.2,308.3,1522,-0.7911883650307214,22,0,0,0,0,0,0
262,L47441,L,298.1,308.2,1654,-1.32286659321677,25,0,0,0,0,0,0
263,M15122,M,298.1,308.2,1736,-0.7711250356652106,27,0,0,0,0,0,0
264,M15123,M,298.0,308.1,1587,0.7536879961136456,30,0,0,0,0,0,0
265,L47444,L,298.1,308.2,1390,-0.28960513089293993,33,0,0,0,0,0,0
266,L47445,L,298.0,308.1,1454,0.3724847381689319,35,0,0,0,0,0,0
267,H29680,H,298.0,308.1,1440,-1.894671480133841,37,0,0,0,0,0,0
268,L47447,L,297.9,308.0,1954,-1.5234998868718825,42,0,0,0,0,0,0
269,H29682,H,297.9,308.0,1800,-0.29963679557569567,44,0,0,0,0,0,0
270,L47449,L,298.0,308.0,1524,-0.03881351382404913,49,0,0,0,0,0,0
271,H29684,H,298.0,308.0,1520,0.08156646236901802,51,0,0,0,0,0,0
272,M15131,M,298.1,308.1,1452,0.04143980363799563,56,0,0,0,0,0,0
273,L47452,L,298.1,308.1,1484,0.6032130258723112,59,0,0,0,0,0,0
274,L47453,L,298.1,308.0,1426,-1.1523282936099244,61,0,0,0,0,0,0
275,L47454,L,298.1,308.0,1652,1.4759678532720513,63,0,0,0,0,0,0
276,L47455,L,298.0,308.0,1401,-1.3429299225822813,65,0,0,0,0,0,0
277,M15136,M,298.0,307.9,1750,1.074701265961826,67,0,0,0,0,0,0
278,H29691,H,298.0,308.0,1479,-1.0620433114651238,70,0,0,0,0,0,0
279,M15138,M,298.0,308.0,1620,-1.6639431924304617,75,0,0,0,0,0,0
280,L47459,L,298.0,308.1,1819,0.3724847381689319,78,0,0,0,0,0,0
281,M15140,M,298.1,308.1,1456,-0.34979511898947385,80,0,0,0,0,0,0
282,L47461,L,298.1,308.0,1626,0.9844162838170248,83,0,0,0,0,0,0
283,M15142,M,298.1,308.1,1390,0.3022630853896422,85,0,0,0,0,0,0
284,L47463,L,298.2,308.2,1469,-2.0852731091061982,88,0,0,0,0,0,0
285,L47464,L,298.2,308.3,2051,-0.399953442403252,90,0,0,0,0,0,0
286,L47465,L,298.2,308.3,1568,-0.6808400535204094,92,0,0,0,0,0,0
287,L47466,L,298.2,308.3,1589,-0.8413466884444997,94,0,0,0,0,0,0
288,L47467,L,298.2,308.3,1805,0.2220097679275974,96,0,0,0,0,0,0
289,H29702,H,298.2,308.4,1385,0.6734346786516008,98,0,0,0,0,0,0
290,L47469,L,298.1,308.4,1436,0.5630863671412888,103,0,0,0,0,0,0
291,L47470,L,298.1,308.4,1438,0.2621364266586198,105,0,0,0,0,0,0
292,L47471,L,298.0,308.3,1473,0.021376474272484798,107,0,0,0,0,0,0
293,L47472,L,298.1,308.4,1335,0.4828330496792433,109,0,0,0,0,0,0
294,H29707,H,298.1,308.5,1392,1.1148279246928485,111,0,0,0,0,0,0
295,M15154,M,298.1,308.5,1372,-0.9316316705893005,116,0,0,0,0,0,0
296,M15155,M,298.1,308.6,1716,0.6232763552378227,119,0,0,0,0,0,0
297,L47476,L,298.0,308.5,1395,-1.4733415634581044,122,0,0,0,0,0,0
298,L47477,L,298.0,308.5,1713,-2.1354314325199764,124,0,0,0,0,0,0
299,H29712,H,297.9,308.5,2129,-0.44008010113427437,126,0,0,0,0,0,0
300,M15159,M,297.8,308.3,1567,-0.16922515469987276,131,0,0,0,0,0,0
301,L47480,L,297.8,308.4,1622,-1.2927715991685031,134,0,0,0,0,0,0
302,L47481,L,297.7,308.4,1740,-0.49023842454805255,136,0,0,0,0,0,0
303,H29716,H,297.8,308.4,1512,0.3524214088034203,138,0,0,0,0,0,0
304,M15163,M,297.8,308.4,1479,-1.2526449404374806,143,0,0,0,0,0,0
305,L47484,L,297.8,308.4,1737,-2.0852731091061982,146,0,0,0,0,0,0
306,L47485,L,297.8,308.4,2129,0.7135613373826232,148,0,0,0,0,0,0
307,L47486,L,297.8,308.4,1374,-0.33976345430671806,150,0,0,0,0,0,0
308,M15167,M,297.8,308.4,1579,0.723593002065379,152,0,0,0,0,0,0
309,L47488,L,297.9,308.5,1305,0.08156646236901802,155,0,0,0,0,0,0
310,M15169,M,297.9,308.5,1449,0.18188310919657433,157,0,0,0,0,0,0
311,H29724,H,298.0,308.6,1526,0.4126113968999543,160,0,0,0,0,0,0
312,M15171,M,298.0,308.6,1453,-0.399953442403252,165,0,0,0,0,0,0
313,L47492,L,297.9,308.6,1468,1.0847329306445812,168,0,0,0,0,0,0
314,L47493,L,298.0,308.6,1313,1.3054295536652054,170,0,0,0,0,0,0
315,M15174,M,297.9,308.5,1300,0.06150313300350718,172,0,0,0,0,0,0
316,L47495,L,297.9,308.4,1646,-0.6808400535204094,175,0,0,0,0,0,0
317,L47496,L,297.8,308.4,1714,-1.16235995829268,177,0,0,0,0,0,0
318,L47497,L,297.8,308.4,1685,-0.008718519775782523,179,0,0,0,0,0,0
319,L47498,L,297.8,308.4,1512,-0.7911883650307214,181,0,0,0,0,0,0
320,L47499,L,297.8,308.4,1612,-0.17925681938262783,183,0,0,0,0,0,0
321,H29734,H,297.8,308.4,1550,-0.7510617062996991,185,0,0,0,0,0,0
322,L47501,L,297.8,308.4,1518,0.0013131449069732513,190,0,0,0,0,0,0
323,L47502,L,297.8,308.5,1448,0.6333080199205777,192,0,0,0,0,0,0
324,L47503,L,297.8,308.5,1561,0.1919147738793301,194,0,0,0,0,0,0
325,M15184,M,297.8,308.5,1488,-1.2225499463892138,196,0,0,0,0,0,0
326,L47505,L,297.8,308.5,1699,0.14175645046555194,199,0,0,0,0,0,0
